id,a1,a3,etbst,b8,b9_1,b9_2,b9_3,b9_4,b9_5,b9b,x,y
3006,Voiture (seul(e)),Belle Fontaine,CentraleSupélec,Horaires réguliers (+/- 15 min.) identiques chaque jour,NA,NA,NA,NA,NA,09:30:00,-1.625187,48.1268456
3600,Vélo / VAE / Vélostar,Belle Fontaine,CentraleSupélec,Horaires réguliers (+/- 15 min.) variant selon jour,09:30:00,08:30:00,09:30:00,08:30:00,09:30:00,NA,-1.625187,48.1268456
5029,Voiture (seul(e)),Belle Fontaine,CentraleSupélec,Horaires réguliers (+/- 15 min.) identiques chaque jour,NA,NA,NA,NA,NA,08:30:00,-1.625187,48.1268456
5057,Voiture (seul(e)),Belle Fontaine,CentraleSupélec,Horaires réguliers (+/- 15 min.) identiques chaque jour,NA,NA,NA,NA,NA,08:00:00,-1.625187,48.1268456
5063,Voiture (seul(e)),Belle Fontaine,CentraleSupélec,Horaires réguliers (+/- 15 min.) identiques chaque jour,NA,NA,NA,NA,NA,07:50:00,-1.625187,48.1268456
5066,Voiture (seul(e)),Belle Fontaine,CentraleSupélec,Heures fixes tous les jours,NA,NA,NA,NA,NA,07:45:00,-1.625187,48.1268456
5069,Voiture (seul(e)),Belle Fontaine,CentraleSupélec,Horaires réguliers (+/- 15 min.) identiques chaque jour,NA,NA,NA,NA,NA,08:15:00,-1.625187,48.1268456
5073,Voiture (seul(e)),Belle Fontaine,CentraleSupélec,Heures fixes tous les jours,NA,NA,NA,NA,NA,08:25:00,-1.625187,48.1268456
5102,Voiture (seul(e)),Belle Fontaine,CentraleSupélec,Horaires réguliers (+/- 15 min.) identiques chaque jour,NA,NA,NA,NA,NA,08:45:00,-1.625187,48.1268456
5113,Voiture (seul(e)),Belle Fontaine,CentraleSupélec,Horaires réguliers (+/- 15 min.) identiques chaque jour,NA,NA,NA,NA,NA,08:30:00,-1.625187,48.1268456
